open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
1504396800000,4508.5,4714.76,4467.88,4620.87,232.321642,1504425599999,1070867.1139385,1949,89.91877,414673.53374299
1504425600000,4610.52,4674.86,4298.33,4384.15,273.485038,1504454399999,1217617.63049665,2512,106.062222,471770.10924833
1504454400000,4351.02,4583.84,4345.01,4509.08,185.409518,1504483199999,832568.00786666,1561,62.953544,283201.04860562
1504483200000,4505.0,4527.49,4052.0,4186.96,357.244716,1504511999999,1548560.0222475,2389,127.229116,553001.63247859
1504512000000,4102.05,4437.68,4014.76,4015.03,740.921265,1504540799999,3140233.29779729,4490,339.005501,1442641.48182591
1504540800000,4015.03,4300.95,3972.51,4100.11,296.478633,1504569599999,1221154.17004495,2438,112.366234,464719.49861214
1504569600000,4106.97,4190.4,3603.0,4190.4,500.571716,1504598399999,1987273.22430675,4411,205.827696,820682.18246556
1504598400000,4190.0,4298.0,4050.0,4151.0,467.190874,1504627199999,1958974.42508953,3581,205.982432,864867.11604643
1504627200000,4140.0,4484.99,4096.06,4366.47,261.175567,1504655999999,1137205.53735443,2092,121.665937,528748.54110047
1504656000000,4366.49,4522.81,4335.26,4461.29,353.728511,1504684799999,1570102.96155829,3600,174.938909,778131.4227502
1504684800000,4476.13,4619.47,4422.28,4619.43,436.891617,1504713600000,1978863.98330437,4313,242.365776,1099116.50740965
1504713600000,4619.43,4662.87,4610.0,4619.77,16.743598,1504742399999,77379.11058057,43,5.618378,25983.81075555
1504742400000,4619.77,4661.93,4438.19,4510.25,153.119333,1504771199999,691130.54731766,842,65.802763,297555.51423927
1504771200000,4475.01,4759.25,4458.0,4755.0,257.719959,1504799999999,1193621.14128118,1558,131.546199,609556.52249011
1504800000000,4755.0,4788.59,4586.13,4691.61,89.590683,1504828799999,421043.44778431,670,43.334987,204187.20684528
1504828800000,4691.66,4735.39,4586.13,4619.01,90.730903,1504857599999,419122.16154317,753,35.172101,162543.01680651
1504857600000,4625.36,4699.77,4028.93,4348.65,528.460766,1504886399999,2278081.88788721,1863,236.730379,1016868.46151317
1504886400000,4330.68,4396.49,4060.0,4282.8,513.063377,1504915199999,2169323.17696299,2117,194.059639,824865.81109787
1504915200000,4282.8,4426.62,4150.06,4321.52,323.384458,1504943999999,1379584.21082058,1684,162.935008,696545.7683561
1504944000000,4336.19,4400.6,4245.94,4276.0,184.49421,1504972799999,795387.24151561,998,79.363255,343175.37076719
1504972800000,4276.0,4300.0,4159.64,4258.81,150.904284,1505001599999,640412.01335079,1095,45.691542,193905.8686208
1505001600000,4258.81,4279.7,3801.0,3988.95,306.591804,1505030399999,1241370.13388541,1412,97.551402,395074.47595437
1505030400000,3988.89,4135.48,3900.05,4094.93,186.19112,1505059199999,754646.35815303,958,122.997359,498556.04740273
1505059200000,4086.92,4283.0,4072.45,4130.37,167.590351,1505087999999,704355.31615367,1065,71.238126,300253.51314739
1505088000000,4153.62,4334.43,4098.91,4178.73,425.480345,1505116799999,1799075.21000157,2006,191.643181,811033.98585522
1505116800000,4186.88,4313.18,4115.39,4251.29,157.662364,1505145599999,665406.10300099,1182,84.938758,358623.1237179
1505145600000,4246.43,4280.0,4158.84,4208.47,116.846356,1505174399999,492361.44949891,1040,45.616391,192212.60367094
1505174400000,4208.6,4394.59,4201.9,4361.0,245.264037,1505203199999,1057666.80091886,2434,151.034756,651097.76233381
1505203200000,4361.04,4373.67,4228.5,4258.72,289.441339,1505231999999,1237989.04455114,2109,101.777476,435434.93001516
1505232000000,4249.49,4280.0,4040.8,4163.72,344.924943,1505260799999,1429534.77781952,1958,198.968438,824482.57402169
1505260800000,4159.72,4165.38,3796.8,3933.76,379.838073,1505289599999,1504788.55601433,1898,170.433307,675232.35915261
1505289600000,3914.01,3976.19,3760.0,3795.0,344.480721,1505318399999,1327224.61007606,2227,93.667224,364169.31849328
1505318400000,3775.47,3991.01,3765.13,3944.69,189.143751,1505347199999,738352.7596263,894,98.952882,386584.76326736
1505347200000,3944.0,3993.0,3800.0,3869.99,223.863149,1505375999999,863992.63297193,1270,96.479364,373395.42757457
1505376000000,3846.58,3889.98,3395.0,3518.0,896.995053,1505404799999,3222627.71167877,4581,432.115954,1553500.96110209
1505404800000,3522.0,3533.97,3165.13,3189.02,544.163341,1505433599999,1827641.05995755,3215,232.558658,784676.04767403
1505433600000,3188.01,3460.0,3031.0,3148.0,556.637774,1505462399999,1813063.83887764,3165,221.913543,729109.60436396
1505462400000,3148.0,3856.0,2817.0,3830.0,1047.513265,1505491199999,3441991.98768563,4810,595.769448,1962762.81103495
1505491200000,3839.94,3839.98,3483.0,3700.0,364.715453,1505519999999,1333711.36013119,2470,148.439254,544453.25298415
1505520000000,3674.01,3950.0,3658.04,3847.9,428.510819,1505548799999,1635302.2414459,3186,215.64436,823542.15870196
1505548800000,3847.92,3850.0,3470.66,3567.11,618.728494,1505577599999,2259005.4098337,3730,259.496296,946767.18710904
1505577600000,3567.03,3715.0,3531.05,3714.95,250.32464,1505606399999,910570.59593323,1893,149.747186,544226.68690808
